"","x"
"1",12175
"2",12176
"3",13016
"4",18614
"5",29590
"6",31707
"7",41684
"8",45094
"9",67453
"10",68089
"11",68091
"12",86476
"13",86950
"14",86951
"15",114576
"16",136739
"17",152934
"18",152937
"19",171449
"20",172949
"21",201893
"22",201921
"23",210182
"24",210186
"25",210187
"26",213511
"27",218978
"28",227939
"29",247009
"30",248796
"31",248797
"32",248801
"33",248804
"34",248812
"35",248822
"36",251359
"37",252303
"38",252304
"39",252792
"40",259642
"41",266281
"42",268079
"43",273901
"44",273902
"45",273908
"46",273909
"47",273910
"48",273911
"49",285932
"50",286477
"51",287466
"52",291702
"53",299979
"54",300166
"55",300167
"56",300173
"57",300174
"58",300179
"59",300184
"60",300194
"61",308505
"62",308557
"63",308558
"64",308615
"65",308692
"66",309095
"67",309433
"68",309444
"69",320187
"70",320902
"71",321313
"72",321635
"73",322880
"74",322884
"75",330617
"76",330687
"77",333876
"78",333926
"79",333931
"80",333941
"81",333947
"82",336297
"83",336865
"84",338425
"85",339209
"86",339210
"87",339211
"88",339223
"89",340175
"90",340176
"91",340349
"92",340363
"93",340384
"94",340385
"95",340386
"96",340387
"97",340396
"98",340406
"99",340408
"100",340411
"101",340948
"102",341099
"103",342370
"104",342371
"105",342373
"106",342374
"107",342375
"108",342596
"109",342600
"110",342687
"111",342707
"112",342827
"113",344447
"114",347225
"115",348173
"116",378388
"117",379445
"118",397153
"119",397295
"120",397353
"121",397384
"122",397385
"123",397441
"124",398411
"125",398412
"126",398413
"127",398414
"128",398425
"129",398426
"130",398427
"131",398428
"132",398429
"133",398431
"134",398432
"135",398455
"136",399057
"137",401219
"138",401227
"139",401228
"140",401985
"141",411554
"142",411694
"143",420515
"144",427195
"145",427199
"146",428155
"147",429193
"148",429194
"149",433981
"150",440476
"151",443463
"152",446421
"153",446430
"154",449869
"155",449870
"156",451652
"157",496147
"158",496159
"159",548298
"160",555272
"161",571294
"162",571296
"163",572307
"164",576110
"165",576111
"166",576761
"167",577224
"168",577233
"169",577289
"170",577355
"171",577367
"172",577556
"173",578560
"174",578684
"175",580213
"176",580214
"177",590523
"178",604579
"179",628027
"180",629126
"181",631060
"182",631063
"183",646236
"184",646237
"185",654442
"186",654443
"187",654461
"188",654482
"189",654487
"190",662791
"191",662799
"192",662801
"193",662805
"194",662807
