"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142"
"1",0,0,11.07,59.9225681523364,41.5899054971407,1.41775247743334,285.877544326972,243.458918238859,0,0,368.124200399725,0,818.77578094707,2228.28109776599,0,0,0,127.583773035252,2.001,214.438364624722,2.882,85.6064751732967,3.434,0,0,0,8.618,261.157,2910.6571427655,996.456900987241,0,0,4.04137199710263,0,0,133.773303340351,159.903126133421,81.8997644332389,48.205,424.182501601409,0,1.835,0,0,3682.217,8229.13369391563,0,1.167,6495.06187285496,15.1325542576284,0,14.96,0,0,0,0,3.65948331539013,14.321,412167.723753896,32.958,0,631.034143752496,1,1558.84755419656,0,114.221910320405,3434.25601223899,2034.64127267317,3.37601671591691,263.631541288,190.012715494941,238.064679634907,0,0,622.285941808555,0,0,133.534560931534,0,18.043,0,2.511,2975.96205233747,3.09,0,0,7.42538576559798,75.7930576432637,665.588938305768,6.13545540032123,2973.77708492365,2.47389906576313,0,8.348,1.391,231.146927962969,5.17213040090674,407143.270027569,0,0,0,24.072,4.25,517.61773371128,465.158835060094,263.7325392295,104.609,2854.5287808593,0,0,0,8002.00109991252,205.967943299079,10.85,0,350.155090155175,8.168,23.7352988159802,193.678503329062,1894.59069993877,45.1332782639498,0,0,0,287.387040762345,610.375612376161,0,74.7629854201361,32.7343074161576,0,2.301,0,24.4799737589048,8696.13232310752,0,75.9704878444826,2230.87397962871,9392.33543550133,76.8092628360533,495.355257332354,25.657,0
"2",0,0,456.181,0,254.011356317381,358.639299084219,1706.78022645676,24295.1715501599,421.151020102814,0,534.837701574305,0,1412.17782530449,4619.30148483779,0,34.9185841159253,0,40.5393416414577,13061.0688863145,1122.04335559388,1.468,20409.4943813824,37.5372988421638,0,29.7320821634429,0,28.414,542.820479434216,141903.297053993,231.434716583578,0,0,6.616,5983.22371887999,35.9659073460745,25777.7345608238,1699.61647700343,668.714353961046,964.727,6808.55742418052,9.62380401483499,6460.63170430424,0,0,1145.21340360063,113063.285953043,34.1248970367956,221.431,112155.999231576,9.94043104733479,100983.085896527,0,0,0,0,0,24.4427999669391,25045.9111066457,35047.7416210456,144.999606483249,386.374,3897.82336805653,972.582014095361,1149652.67850206,508.737765666543,11038.7292671883,60.4486326210342,518.890898185813,22.0306594467962,4441.07703759166,2477.45978269195,9.727,0,593.891726789794,1713.82317937097,222.542,0,259.047339603311,0,131.28223764176,938.713,393.688322545465,4599.74435485066,514.959854230206,240.701489643993,39570.4266309017,1657.69018303325,39.4905742302111,99.2389100413191,0,5798.85050224955,234.171277225788,0,59.9652955678556,71365.6001485359,1951.31075124527,125.491468721456,1320.03242036632,0,0,772.662921282075,711.193982618223,735.354710564112,15306.4206956834,334.965894791249,1939.15925973238,40976.5574507784,15962.3393018296,0,0,0,1321.80651893426,5783.24691861538,71178.3674403606,0,683.286865989682,6087.10828395884,6807.23569256774,538.21,128478.229816671,1601.59225619023,0,0,0,18625.3889251392,19225.7082857352,0,0,422.798314531487,0,8.53417152730396,0,604.982172343612,25861.3408345892,0,5573.84489169125,4107.13956348593,39937.4923683873,222.194516222853,4.493,0,0
"3",0,19779.6588936429,0,529.711322800744,15822.7359820797,1.27816501342653,267296.485845304,162933.018488212,343.632555556777,0,177.785251226609,1205.752,820.774804152683,1077406.1178649,48.706,1997.61757921773,0,3.09825874744952,1362.21166016786,2179476.21282536,0,924.217895868045,564.979829774618,0,350.097351318115,44.004,4096.72475361075,1.737,672899.642864329,1779.20498977145,1.233,0,62.5505803323445,5046.57043968026,187463.398782228,30095.7246027656,15961.7193521128,13634.6412372411,13.836,475529.344603936,0,219370.739291263,213.739,0,43.7975284190933,4270761.49455721,1846.07976180218,1.907,1037913.91240135,17923.8242959573,401434.082461651,71.3104774738356,5669.046,0,31.613,0,0,113.670736997992,922534.347451075,309412.963769104,443.81,70157.526066685,0,5657336.35359823,0,275740.626072204,145910.869486884,61.2669804180425,750.843,814719.695974966,80164.3651669983,0,0,1.75317155360743,43092.3983897547,243.465197155322,2.185,104598.435146496,27.5964027131627,2042.33975214683,57188.2849074545,82.8765624609722,14885.6492152557,0,7.58449072452952,264.254,478668.107590609,5.551,1.991,0,1734294.61982187,0,309.858592131079,3371.92032962197,1278.91487699474,30310.6634394179,402.461960520343,299.920856827742,12947.985,0,0,0,99899.7533150239,38486.7057895044,892619.69757462,3909.85259976294,9693.68186763175,7378.06434375743,0,0,45.599,5339.65893710681,28754.9640788906,99.703,901.065,286410.28726007,2593.28964597854,3149.72348523142,5232.11891605184,4616933.20389527,863.977664048102,0,0,0,20177.557255503,37465.1610894944,33985.927,4078.64915744281,241245.993909836,0,19179.3464873624,0,762155.720206273,2343809.30848758,584.832285770355,12244.6218945959,1828697.49666211,3623136.78433888,6023.57306010077,25.8876681860336,0,0
"4",7.079,38.814,2308.18801846965,0,6150.64732704127,29.502,1804.39164540458,1098.96916110086,158.779017429901,128.318,3.845,121.914,0,301292.555449582,0,7463.63814962689,0,56.089,0,251521.943525914,52.3502646503968,166.11,2204.3456949543,0,233.711149870256,0,13558.1486094477,1397.56727234546,18992116.1392824,457955.282084988,0,121526.659104595,1.187,0,1.262,4.93261104502172,1642.61197302465,6193.24101089618,3166.17829220533,44115.4404929692,0,0,188.355,0,22.297,350022.042849,0,210.996,48744.4658833695,26142.8958920452,297.459038682359,0,1939.391,194.309,17.38,0,0,0,4003082.42052486,24635.3272391766,36.847,251.286201612212,82605.5160378822,359925.498692025,0,276468.047638158,45674.8109463688,562.683,1870.54243654187,229846.751191471,206.153109052127,0,17.155,0,1238.96246615853,0,211.253420676779,573048.862654983,0,1116.86095710658,1573.61402869877,104.06063716817,548.820118823762,0,0,0,1047.256,777.202327871137,10438.8814437222,22.0049044282416,18123.8591756444,17.108,0,13109.7155166756,0,47626.5477195289,190.782,725.990050754523,184406.84,17.33,137.228701884425,74167.2793384831,5147.80086446848,1867.05396753715,293374.39860183,133.63,141.857178550538,1029.74343206375,1383.88,0,3341.168,2897.00080829653,2370.35252540991,42.48,744.434,285162.429924364,29.098395543648,1155.669,1343655.31196834,1080777.70056483,48.2967468885518,0,0,0,758.308964643485,3952.00319266733,0,3.92000026968812,277177.737136425,0,90373.7465393363,1446.629,2753.475,2119.45521189219,1141.08042941204,77.9849795981177,99382.764514127,2567084.40865504,1.354,0,309.544985242469,277.976895622488
"5",1742.478,6361.8331659534,1485164.95340138,42959.6688202727,0,5857.47304827126,634065.215592439,72298.0061446932,18789.918006082,12182.486,8452.23535408423,583526.84,78460.613570194,477723.777804986,907.176958621695,2941.65058292298,0,632839.461412092,4785.76213178794,9323971.28827265,19985.2752239151,122747.859541628,4033.98135320404,3510.44347357231,5871.88544435408,14818.915,46896.805664482,2666973.30240317,4382652.67224197,565806.397796841,2285.213,15327.394,115440.620289873,52091.2115222377,24921.345335684,85490.3677452907,227489.9101741,115814.203872377,396446.591082449,1287539.86942849,37788.0770947881,4322.43671211584,1024.07,565.821302641518,103955.233862406,319700.479506822,6513.30364303455,5294.85576092522,1108768.9498441,45839.2199201749,146912.857862494,162830.806223993,786.509,0,3631.197,16425.29,72911.7658817131,12419.9916752487,2163136.11147362,1089407.9771287,191438.96131752,318861.703975079,200150.445052174,1093001.31516693,6621.26108091978,675591.943706749,250990.499047924,27440.6334497643,86546.7478790835,521818.659850896,66436.6048091132,588.010607329291,228.78,57125.6815466569,106351.572281271,17166.4005640605,22296.3706506949,1022868.79809656,625.153018645715,15587.3536551664,6331.89344012869,49811.1640639463,705961.744159065,5815.61747702865,2170.89012842554,1947.49326396006,544734.913556764,81167.1479388184,8787.24998592292,119074.975277169,1318377.11849,79249.3806724672,3106.339,148165.704010648,14990.1319600924,21738.1475322683,80153.061113034,176781.587898177,120897.97,415.46,1150534.8882987,1084407.2760096,271405.856940996,587039.94504985,98625.9635744984,26123.6073158664,84518.960605441,577133.700076341,7239.155,0,0,738399.342895671,96634.3729675795,11440.7960761485,430.447,53106.8598024924,35839.0641632696,58740.2989120559,540788.711857832,1522365.62398338,7668.75401172812,8597.72790944349,232.43,4781.575,56266.2571469883,1289930.50655725,0,21923.4263643402,624185.759937479,0,740.510868422337,11137.626,148432.101312304,510226.219032102,1242.73831869605,53768.3919719856,868782.206492247,4678017.91777739,1198206.60284241,15311.8181166894,2065.05568982193,8573.93346169707
"6",60,29.789,6.003,0,120.993423651629,0,600.478278471864,5231.54149346841,0,0,8.162,0,7343.0125899358,61284.643061487,19.404,0,0,4.40995092827299,1.531,138.031136504607,0,281710.542341256,0,0,0,0,137.869,1.52395048683332,131290.9250175,34.105,0,0,187.549991513899,117.468604971385,124.132185254541,2928.54410740411,751.422715296443,31.809328042441,1.00234277614175,37.594,36.4856783690957,674.832509177616,0,0,1955.00218484023,10381.3893372721,13.557,208340.150402215,127216.137276066,12.585,4939.23529592649,0,0,0,0,0,0,2175.62761300621,3628.63612242086,104.878703054061,131305.627805988,25.812,1513.78879243366,37409.6650347316,0,10255.0173269927,9.14458076748265,5412.11857244961,45.1694573317488,7145.71758854376,261.708419878138,1826.14630350119,0,2905.69106788322,294.677791937918,0,0,923.298617013165,6.208,5.897,0,13.603,711.962488393107,728.094657350318,73.647,14.175,0,0,0,0,88687.7305940223,0,0,233.878,0,207.067824209008,48.645,75.5966189884167,0,0,2.418,43.884,42.749566720813,10614.6690426976,413.889356042894,1449.49153329787,3753.31654246544,571269.524994598,0,0,0,738.879834251324,2665.13400206467,86616.5440966309,54.159,2191.7709420382,801.970795158291,440.551104083807,250.935,123778.556295504,0,0,0,0,959.21799326899,378729.483607995,803.497,30.1509629232071,8457.15743334768,0,0,0,1.626,3009.0232307882,0,11027.3937086822,5120.60018284337,67314.0970307043,13.5803846368317,2417.61862718485,0,0
"7",729.715,3128.951,51015.3262312806,25803.3294188703,270547.242455362,5054.10528374854,0,133546.645211917,6428.45013322339,7845.409,551468.158721761,911046.055,4673.832712974,1115272.57017861,217.239311695327,2825.60602626536,187.513,6172.74375084075,1547.03231994563,1215497.63600272,38317.8220036201,17992.1604235116,36702.8323531172,274.105465525423,16.067,29029.897,6928.83255553433,354367.012143712,88871555.1797229,58100.8099143174,0,2843.79313609199,8265.91698256779,2147.44666924378,5952.54471030143,155964.874397577,219989.391260034,16289.0638216726,21125.7072272694,437942.364545386,19745.0965694005,9072.13877053659,1804.182,407613.920458766,86801.3860474587,1258262.24249786,36.5157087930837,8769.87772079597,2623675.86925275,117566.140319115,20014.6656094974,4308.63971520173,5676.06,0,3223.097,151.157,3505.24005403165,104087.837736622,14742897.3828879,5860959.52125722,66723.392,104193.499466861,160507.981533219,683741.655092777,13906.9536116972,37301505.9747965,121356.616183616,22691.2371039686,75785.5994086192,17980973.8303073,550214.422903067,4976.25239838335,16229.735,5744.97293257059,47103.8604575563,13068.3595131825,14244.9313870941,4583067.92736188,42975.8455750776,24136.7674195842,12373.0699182128,113536.263165691,316118.64547111,905.616934089586,42648.6339829577,2066.533,45300.7449912251,432226.495716362,226974.647265922,51021.0029488911,1382284.60100762,9741.80750405468,2830.302,212436.025602655,3288.33036340837,123175.506165185,268577.229095492,612751.251838464,88840.076,1189635.422,2682.03814023902,147837.650313223,2232684.49901453,536517.412895437,45668.0238542006,502875.24504198,64647.8526916948,504957.540114671,340.159,37174.3490964131,191.434,1094343.97987696,43651.9764029204,6848.91195730596,2344.597,3994383.5883302,7302.6465195824,100451.829970089,1072798.09555091,698010.674482706,251818.62329214,1494.54198438739,738.527,2881.904,316249.436793354,1758114.87431836,180.733,73055.7217045239,4187756.23531414,17701.194,4078.51224028973,17834.341,11930.0562222025,2913528.37045691,18676.0108136886,124338.032484629,4853083.55591173,9097435.11521338,9148.63951023766,549.66691080503,52637.5539424555,1818.75639545405
"8",9612.796,48178.9930609239,355210.465742123,40333.0991376664,208166.963004944,22726.2604401591,1326512.32717609,0,72660.5737141764,6025.17800000001,44127.5206143057,49730.834,173867.854746687,2362369.3891022,3357.6618155952,17325.609376417,3242.95187488635,115162.584339997,367105.479663699,956163.522956383,1207.2655350802,776907.667583923,5655.20038922525,238.010131545841,251.280764435947,2324.728,9272.4612026923,300334.998020402,4711045.34131575,177716.412490341,6.199,2662.76,28146.0301834798,1826663.17421636,60403.0991956469,5401309.55061331,821411.135084385,23549.7976395532,58525.5387631127,374100.815365208,15389.3145752925,150074.340839453,16758.317,2373.00603557587,668347.87058558,7642869.06092605,733.222193908099,65034.5938509277,43281710.9764185,20554.2594893934,531803.962269988,17129.1386977085,7283.885,3849.945,219.376,956.805,12370.6376195313,5688625.22902293,896094.191611525,339460.744804019,94242.7787061333,356741.549905676,555865.711472011,10225802.5438982,7366.17709149406,1632832.83574218,83135.0745014938,172376.173503988,26995.4760465423,1616594.1143479,182265.222478405,10074.2849203315,54356.498,144611.834052904,79132.897526203,2799.84390455632,38684.70047289,590795.09818966,3798.33969086592,103279.700324703,18470.118485354,11223.1832151386,1404712.04339421,88594.6287547625,11929.7102354335,53280.1002709662,202583.789941864,7683.68912854201,21021.6694754966,8286.71701487964,2841914.07322961,16216.1564799719,436.047,103503.577451803,139123.172395433,624049.68517453,81369.3703380878,170429.667000988,30046.728,1004.268,19313.4479526924,94560.6645570098,196223.7855771,4192237.33104107,462450.254992736,187644.556199663,2678828.12598212,2566600.28864992,431.336,284.573,30.765,536356.265492146,40650.9746554993,662301.057476683,1011.699,620972.262661566,3041465.27940884,2665878.41904505,516314.03561269,2487700.71142227,67608.0300124207,1021.62667289506,41.764,1172.816,1886915.24631262,7737049.17357292,10513.46,15072.3162962668,373211.838829063,888.962,2431.10752162668,6383.168,107769.681781418,1510680.04286248,7051.51860959227,528763.718070692,4440192.15942013,11618516.5845074,24926.3123016155,57676.2030865703,7476.04037875002,4184.14998809194
"9",51340.915,70.715,21.353,14.4441537106084,23.4419895874534,0,635.391511084955,154692.60025716,0,0,419.213195338037,293.958,17930.8870451792,29400.8665369873,1425.36,0,0,13.245,27.2184339733765,142.127801431211,92.7090260069481,189.555296680027,9.359,0,0,402.479,172.84666004759,7.06713334842785,451216.561763253,68.091,0,0,0,3.55809498324868,35528.8015110059,592227.589481807,1118.96649575346,0,0,1803.63115836731,0,1867.48837361633,0,0,1434.91433890659,481957.259658783,0,516664.574359869,492520.970885443,0,143534.745382983,0,0,0,0,0,0,2220.79363926603,413889.19746079,94.425750151735,15886.3009074464,19.698,642617.602239706,5006279.32836327,0,4352.478940323,4170.70672864303,38451.1859590146,148.175,1023.67887937003,128.832668410176,610.771061569319,0,2223.48570067254,30369.5270436935,0,0,4538.47645785574,0,296.623900849699,0,0,31559.7306895433,248.828196663586,182.350034923273,29.007,223.362928993721,3.23,0,7.122,86283.2837238485,19.679,0,511.691658792417,5.69419788670132,6604.14645316657,64.648,3468.43133373924,0,11.892,0,8.894,19.928,9260.7713243639,594143.990483332,4753.09189872874,312616.563306032,624093.552947749,0,0,0,1430.12098501929,64.5902800876047,318.518,0,1059.38542074353,914.083228227043,10013.4939958821,246.892748229708,392034.686065491,0,0,0,0,637.381774321965,184620.751836258,1972.375,0,122124.521837432,0,1.082,52.845,10440.9245906817,1419442.74025323,0,427071.776257741,49063.1005029226,78204.3794864587,0,4519.18175875174,20.477,1.46342379944539
"10",0,0,0,9.673,4754.48430322707,0,4047.24679494516,361.306880684706,2.70850451434065,0,9.07,0,292.3,12754.5442863372,95.974889634775,0,0,24.7487961303717,0,5015.47392467148,1.14,1.357,1.772,12.679,0,0,88.805,1504.83725824968,20991.5156262892,3.319,0,0,331.816,0,9.76064828425025,275.276012057032,350.625444870444,12214.9749666254,232.818662610163,0,0,12.923,0,0,1675.6649966409,24585.9688254592,0,2822.311,4043.38074405231,98.042,10381.0431047842,14.877,0,0,0,0,1.32,1103.63354245111,455.323568908939,4.564,0,8840.96378172197,1916,502.978771940742,30508.3610144852,16182.61455199,0,13.474,4.525,27.4489515993288,37.3012652569851,2.378,0,0,128.611140127865,0,0,14541.8978095072,80.1552266865684,0,0,123925.587,17470.6678967035,87.495,2.38588244902083,10.835,0,182.673361741548,52.8242158049674,0,13527.1255705864,19.151,0,8.642,0,490.610443014258,51.318,1336.18220366674,0,0,0,12820.8921565202,0,283146.70512221,16.3973926348252,15.7062066517311,1.784,301.472,0,0,0,149.75566438541,88.7082695871855,0,0,2392.8378661083,1.181,216.613863169169,20252.4585277629,7032.97997503889,0,155.464788676542,0,0,4869.53201068096,24515.6068490947,0,1115.4459977013,2267.23062301613,0,0,0,0,226.677053143307,0,0,6760.37594204429,228148.350095786,0,0,220.894813628675,0
